,date,user,comment
108,2017-11-05 03:05:09,Twokinds,Hm...
109,2017-11-05 03:05:34,Twokinds,It is 3am so I'm le tired
110,2017-11-05 03:06:06,Twokinds,"Some of it is minor issues, others are larger"
111,2017-11-05 03:07:54,Twokinds,And there's some... pretty dramatic departures from the story
114,2017-11-05 03:08:24,Twokinds,ok
131,2017-11-05 03:14:04,Twokinds,Dinosaurs are very rare these days.
134,2017-11-05 03:15:09,Twokinds,They'll be back. And in greater numbers.
144,2017-11-05 03:21:21,Twokinds,Dragons are very friendly.
153,2017-11-05 03:25:34,Twokinds,Humans in Twokinds are generally not afraid of dragons.
154,2017-11-05 03:25:41,Twokinds,Keidran less so.
167,2017-11-05 03:28:44,Twokinds,"Sometimes, a village might just find a dragon sleeping on a hill nearby."
171,2017-11-05 03:30:09,Twokinds,Heheh
178,2017-11-05 03:32:09,Twokinds,Heheh
188,2017-11-05 03:38:57,Twokinds,lol
189,2017-11-05 03:39:07,Twokinds,Maybe.
191,2017-11-05 03:40:45,Twokinds,Would be pretty bad for Keidran. But odds are Dragons would not fight a total war.
192,2017-11-05 03:41:07,Twokinds,"Reni is a loyal member of humanity, but she's almost the only one."
197,2017-11-05 03:43:40,Twokinds,"No, certainly not."
198,2017-11-05 03:44:06,Twokinds,Dragons have no concept of natonality or government.
201,2017-11-05 03:45:56,Twokinds,Exactly. They're each entirely self sufficient.
204,2017-11-05 03:47:23,Twokinds,It was headed downhill before Trace.
205,2017-11-05 03:47:38,Twokinds,Things were a lot better the previous generation.
209,2017-11-05 03:49:59,Twokinds,There was an upswelling of nationalism among younger generations of wolves following a period of peace that lead to increased conflicts along the boards.
215,2017-11-05 03:54:06,Twokinds,There just isn't much trade between the west and east sides.
219,2017-11-05 03:56:07,Twokinds,"At the time Twokinds takes place, technology is just reaching the point where cross-sea shipping is possible."
226,2017-11-05 03:58:00,Twokinds,Hey that wasn't me. That was the wolves.
273,2017-11-05 04:17:24,Twokinds,:zzz:
274,2017-11-05 04:17:41,Twokinds,sleep time
284,2017-11-05 12:49:34,Twokinds,Morning
290,2017-11-05 13:07:36,Twokinds,What's wrong with Mondays?
291,2017-11-05 13:07:39,Twokinds,They're my day off.
298,2017-11-05 14:03:59,Twokinds,...
299,2017-11-05 14:04:13,Twokinds,"Yes, I am. I'm sketching comic pages."
300,2017-11-05 14:04:19,Twokinds,But that doesn't prove anything!
304,2017-11-05 14:12:37,Twokinds,Well I'm not entirely satisfied with the current pages right now.
305,2017-11-05 14:17:30,Twokinds,"And you know, gotta make future pages too"
312,2017-11-05 18:31:11,Twokinds,Sure
315,2017-11-05 18:32:29,Twokinds,:ctwokinds-floAAA: I'll diss it all I want!
318,2017-11-05 18:36:51,Twokinds,Eh I dunno
319,2017-11-05 18:37:13,Twokinds,"I'm working on dialogue, which is a process that tends to make me the most time"
325,2017-11-05 19:05:47,Twokinds,Yeah there's a struggle between trying to convey information and just dumping exposition.
326,2017-11-05 19:06:32,Twokinds,"And also, there's writing characters doing stuff, and then there's trying to explain why and how characters are doing stuff."
327,2017-11-05 19:06:49,Twokinds,Which is easy to not get right.
341,2017-11-05 21:51:40,Twokinds,:D
342,2017-11-05 21:53:04,Twokinds,Warm colors have a way of making things look soft and fluffy
